"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"ENSG00000019582","ENSG00000019582",0.671582406300194,5.73818281925206,0.658113816238803,9.9059533859801e-27
"ENSG00000107317","ENSG00000107317",0.910404001121524,4.4403965580462,0.623286871720065,4.14674034455044e-24
"ENSG00000254709","ENSG00000254709",0.977459783832038,3.89959717097939,0.568762686222671,2.71467217770268e-20
"ENSG00000167996","ENSG00000167996",0.490816020925953,5.78342321645731,0.486505780656194,3.3532284204675e-15
"ENSG00000228696","ENSG00000228696",0.996345322608301,3.26041245229018,0.446250486641048,5.32743168286841e-13
"ENSG00000204472","ENSG00000204472",0.976013043369749,3.33070147679507,0.441132070166543,9.83381883719492e-13
"ENSG00000189159","ENSG00000189159",0.932322314095611,3.45379975055797,0.424342369420444,6.98782563886968e-12
"ENSG00000170476","ENSG00000170476",0.989016616127365,3.16177727063377,0.417776275771917,1.47365210350352e-11
"ENSG00000101439","ENSG00000101439",0.971080517498594,3.20833888504754,0.409793863628588,3.5936801864475e-11
"ENSG00000173372","ENSG00000173372",0.995435485252867,3.09343437644726,0.409690000775791,3.63519349788456e-11
"ENSG00000074695","ENSG00000074695",0.980573538025037,3.12866813469804,0.402291169424744,8.17734493530699e-11
"ENSG00000161570","ENSG00000161570",0.714415254373775,4.25798583881779,0.386405939583288,4.43498597375011e-10
"ENSG00000115523","ENSG00000115523",0.505166066670404,5.2182556266417,0.386355472408878,4.45838970669493e-10
"ENSG00000204287","ENSG00000204287",0.725902426605609,4.19734380465917,0.384251504016293,5.54889926026749e-10
"ENSG00000123689","ENSG00000123689",0.995840267655724,2.96943929249784,0.384128841976095,5.61993243035243e-10
"ENSG00000138376","ENSG00000138376",0.99164229806668,2.9861431993246,0.38340131641723,6.05982489386632e-10
"ENSG00000227507","ENSG00000227507",0.747613533759504,4.08339838845326,0.380296798690264,8.34501734348185e-10
"ENSG00000166887","ENSG00000166887",0.998893106395906,2.93442696442602,0.37993613726663,8.65961341196077e-10
"ENSG00000091164","ENSG00000091164",0.955296479812943,3.11780227036618,0.374707187377352,1.47501668045273e-09
"ENSG00000253701","ENSG00000253701",0.97169686198166,3.01419412122113,0.369305492541218,2.53738122656263e-09
"ENSG00000166927","ENSG00000166927",0.984965087330412,2.90211113772449,0.359357383836467,6.75084508474846e-09
"ENSG00000087086","ENSG00000087086",0.393056204768309,5.6218425664223,0.356035992791934,9.3041526384489e-09
"ENSG00000008517","ENSG00000008517",0.908947747389525,3.22846890384345,0.351977188018617,1.37146048513931e-08
"ENSG00000112365","ENSG00000112365",0.984276534919302,2.8650798597511,0.35109121754896,1.49179991993684e-08
"ENSG00000100721","ENSG00000100721",0.88339914677008,3.33060893977984,0.348498083435668,1.90588624857946e-08
"ENSG00000075945","ENSG00000075945",0.993667088879653,2.78659636189081,0.344584400113027,2.74903168128041e-08
"ENSG00000118971","ENSG00000118971",0.969737291073368,2.88971433440077,0.341589033473001,3.6285420111916e-08
"ENSG00000204482","ENSG00000204482",0.964651451837641,2.90211113772449,0.339043748343696,4.58512553242761e-08
"ENSG00000111897","ENSG00000111897",0.965090984367106,2.87540562884866,0.334013542440008,7.2438088577883e-08
"ENSG00000105369","ENSG00000105369",0.795324520331973,3.65618290288977,0.3321204874979,8.58920560825816e-08
"ENSG00000131469","ENSG00000131469",0.385406887552421,2.61629794384465,-0.297363848528118,8.94006564242361e-08
"ENSG00000140264","ENSG00000140264",0.398510992723347,2.56236249371812,-0.294679173128146,1.13609263334301e-07
"ENSG00000138138","ENSG00000138138",0.992805106803251,2.71014855787167,0.328455914722269,1.19122519189071e-07
"ENSG00000117616","ENSG00000117616",0.888912180645757,3.20897020100533,0.327760887768715,1.26694520924035e-07
"ENSG00000168229","ENSG00000168229",0.908591285568741,3.10746714999513,0.32581321546288,1.50473537333139e-07
"ENSG00000196126","ENSG00000196126",0.732932979248487,3.89391688014436,0.322958918905099,1.93259839010662e-07
"ENSG00000131143","ENSG00000131143",0.369999065393952,2.76285278854566,-0.283850366057358,2.92900327500483e-07
"ENSG00000097007","ENSG00000097007",0.995998016754676,2.63598101039086,0.317062033504658,3.21874267256645e-07
