"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"ENSG00000187726","ENSG00000187726",0.99997130797808,1.69927676688897,0.00476663994006665,0.429844154528858
"ENSG00000087365","ENSG00000087365",0.859104119726954,3.77610398807316,0.00476715537662564,0.429848299785449
"ENSG00000173327","ENSG00000173327",0.983313245179164,2.53396942739098,0.0220316888291183,0.429851168502366
"ENSG00000154359","ENSG00000154359",0.997936070666202,1.8073549220576,0.00476974250834283,0.429869106196685
"ENSG00000140451","ENSG00000140451",0.998609804117697,1.77636147062129,0.00477078842991951,0.429877517835467
"ENSG00000149179","ENSG00000149179",0.989943360219458,2.10488210218074,0.0047739356906944,0.429902829314049
"ENSG00000267359","ENSG00000267359",0.999905283149934,1.70439579890205,0.0047748776004205,0.429910404569444
"ENSG00000113272","ENSG00000113272",0.985692263570244,2.19115969055737,0.004775079478051,0.429912028162162
"ENSG00000263563","ENSG00000263563",0.983049962578803,2.23956309282818,0.0047757518879139,0.429917435999968
"ENSG00000119041","ENSG00000119041",0.99472158043677,2.35268846111547,0.0220209902838056,0.429937210463452
"ENSG00000169715","ENSG00000169715",0.995663539455486,1.90084473384506,0.00478045612478228,0.42995527006315
"ENSG00000134575","ENSG00000134575",0.992589933696849,2.40008885185822,0.0220181689169215,0.429959901573907
"ENSG00000269604","ENSG00000269604",0.99918586343399,1.74782217501888,0.0047839536476747,0.429983399484975
"ENSG00000144554","ENSG00000144554",0.998484914904412,1.78298691532233,0.00478475178055127,0.429989818653987
"ENSG00000269386","ENSG00000269386",0.996118969357059,1.88318633501725,0.0047860753730512,0.430000463994838
"ENSG00000106799","ENSG00000106799",0.99607695680906,1.88513715154766,0.00479350939185585,0.430060254991888
"ENSG00000133195","ENSG00000133195",0.997328319079163,1.83467286793324,0.00479756498288364,0.430092874341508
"ENSG00000266086","ENSG00000266086",0.99951616613617,1.73028464606455,0.00479989454297802,0.430111611341786
"ENSG00000266527","ENSG00000266527",0.999721854900578,1.71814171987455,0.00480355498851193,0.430141053170643
"ENSG00000256742","ENSG00000256742",0.999936938166841,1.70439579890205,0.00480653261732811,0.430165003229705
"ENSG00000157017","ENSG00000157017",0.998906889963952,1.76380177913852,0.00481282288372087,0.430215598779336
"ENSG00000105737","ENSG00000105737",0.999993163414845,1.70098096558353,0.00481292612815987,0.430216429232125
"ENSG00000173334","ENSG00000173334",0.998384656629266,1.78903815943996,0.00481376790044963,0.430223200089152
"ENSG00000170100","ENSG00000170100",0.998948346417664,1.76201696622157,0.00481894287224194,0.430264825804266
"ENSG00000267582","ENSG00000267582",1,1.70098096558353,0.0048197627133153,0.430271420398478
"ENSG00000151948","ENSG00000151948",0.99970125532537,2.24970498943316,0.0219791074963847,0.430274080490184
"ENSG00000182534","ENSG00000182534",0.999597514653073,1.72680414475806,0.0048219808451283,0.430289262587188
"ENSG00000108474","ENSG00000108474",0.992779383881336,2.01686954780356,0.00482382039660922,0.4303040596628
"ENSG00000148384","ENSG00000148384",0.996928520738545,1.852346307018,0.00482573329075409,0.43031944679958
"ENSG00000143457","ENSG00000143457",0.99441747652225,1.95112665861505,0.00482584252661078,0.430320325485514
"ENSG00000104783","ENSG00000104783",0.991078508870898,2.42585386704349,0.0219727815894943,0.430324965199431
"ENSG00000149922","ENSG00000149922",0.999660859671214,1.72333254053206,0.00482729067531107,0.430331974329521
"ENSG00000246430","ENSG00000246430",0.999958879800883,1.70439579890205,0.00482847425136979,0.430341495007946
"ENSG00000101916","ENSG00000101916",0.999690884361711,1.72160006103519,0.00482876095011187,0.43034380121693
"ENSG00000069998","ENSG00000069998",0.971227767465552,2.46690673919944,0.00482891443282385,0.430345035835145
"ENSG00000172943","ENSG00000172943",0.996212234704708,2.31750323300361,0.0219700106587747,0.43034725454261
"ENSG00000103248","ENSG00000103248",0.992649640375468,2.02261289377477,0.00483044444309877,0.430357343307716
"ENSG00000105993","ENSG00000105993",0.916129283502672,3.21910983734715,0.00483244906387226,0.430373468671217
"ENSG00000168140","ENSG00000168140",0.999963308599169,1.70439579890205,0.00483290304965545,0.430377120592918
"ENSG00000105479","ENSG00000105479",0.999806173280818,1.7146921661956,0.00483294779467036,0.430377480528061
"ENSG00000145882","ENSG00000145882",0.994912673561209,1.93213801467034,0.00483365796847324,0.430383193272947
"ENSG00000140563","ENSG00000140563",0.996588678262534,2.30950883563329,0.0219649587390851,0.43038789271282
"ENSG00000134955","ENSG00000134955",0.999580774768873,1.72854328050814,0.00483471930507073,0.430391730851331
"ENSG00000141699","ENSG00000141699",0.98718831828133,2.48315694914266,0.0219641542129075,0.430394364473581
"ENSG00000141873","ENSG00000141873",0.967847000866435,2.73156823157834,0.021964143373862,0.430394451665042
"ENSG00000177302","ENSG00000177302",0.995670184322742,1.90282093129947,0.00483770119702509,0.430415717889148
"ENSG00000020256","ENSG00000020256",0.997035025435563,1.8485398241999,0.00483911163726347,0.430427063890478
"ENSG00000162804","ENSG00000162804",0.998933603580195,1.76380177913852,0.00483953649996316,0.430430481623823
"ENSG00000111728","ENSG00000111728",0.998116422635398,2.27902407023258,0.021957141625485,0.430450775844909
"ENSG00000181852","ENSG00000181852",0.989075773627687,2.4565293616361,0.0219549024235476,0.430468788960657
"ENSG00000151414","ENSG00000151414",0.994173689998352,1.96140847134039,0.00484443223006903,0.430469864840505
"ENSG00000137075","ENSG00000137075",0.993248075558478,1.99836788929008,0.0048444650401559,0.430470128780338
"ENSG00000130985","ENSG00000130985",0.971532607160429,2.6786216079354,0.0219529028299692,0.430484874684685
"ENSG00000136521","ENSG00000136521",0.91298933811311,3.25518309731575,0.00484743281162558,0.430494003063968
"ENSG00000179397","ENSG00000179397",0.999876364842226,1.71125135672467,0.00484947391628798,0.43051042290955
"ENSG00000132405","ENSG00000132405",0.991400766449379,2.42008688219188,0.0219497139431181,0.430510527913225
"ENSG00000099899","ENSG00000099899",0.978718950294748,2.32554401113481,0.0048497969501663,0.430513021594946
"ENSG00000033327","ENSG00000033327",0.999185772532979,1.75135700327608,0.00485027128936488,0.430516837479882
"ENSG00000135045","ENSG00000135045",0.998385081490444,1.79085878976803,0.00485353064966432,0.430543058013883
"ENSG00000167632","ENSG00000167632",0.994863531445977,1.93483461029533,0.00485386506714081,0.430545748315191
