"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"H19","H19",0.862208242484898,5.95652136333312,0.784425871549124,1.49413547728653e-16
"Rn4.5s","Rn4.5s",0.632176805085049,7.26772305162742,0.739875028905546,7.16274265445138e-15
"Igf2","Igf2",0.865090093671973,5.49505552836802,0.7299264976588,1.64780418785398e-14
"Rhox6","Rhox6",0.919550473543495,5.00450139223494,0.726689187316473,2.15568442202351e-14
"Col4a1","Col4a1",0.888171729326964,5.17392693199981,0.715101027878063,5.58443580512147e-14
"Fabp3","Fabp3",0.888978207807773,4.95884267524324,0.690777588038914,3.9174422285525e-13
"Krt18","Krt18",0.672302754678862,6.63081315229913,0.688701042110441,4.61178633229391e-13
"Acta2","Acta2",0.875791718591415,4.95884267524324,0.677591098822557,1.09493096323236e-12
"Gm7102","Gm7102",0.885507993811243,4.81249822533356,0.670117760079793,1.94331738559084e-12
"Lama1","Lama1",0.978339350180505,4.00898878322726,0.662082134881027,3.57568301888566e-12
"Rhox9","Rhox9",0.944701635166702,4.25550073314839,0.661118650163424,3.84499711374598e-12
"Dcdc2c","Dcdc2c",0.907017698335828,4.5298209465287,0.657760917957379,4.94814875834021e-12
"Krt8","Krt8",0.640747995519079,6.21140163741847,0.597291154947606,3.73090946205941e-10
"Ccdc36","Ccdc36",0.425580904073085,7.69418374333315,0.594411533067642,4.53639573029921e-10
"Sct","Sct",0.965637117261666,3.59693514238723,0.589427966677528,6.34846399166037e-10
"Cdkn1c","Cdkn1c",0.876842419922279,4.17791779219584,0.583189511307924,9.63060159243634e-10
"S100a6","S100a6",0.676076753383909,5.55765515472542,0.548440329832068,9.05099001920054e-09
"Tagln","Tagln",0.641443782192308,5.83541884047548,0.548145933177102,9.21904643647399e-09
"Gpx3","Gpx3",0.880579909460776,3.81762325751143,0.537417861451741,1.79036271754036e-08
"Phlda2","Phlda2",0.85131011994876,4.00898878322726,0.535052904649282,2.0688325472257e-08
"Srgn","Srgn",0.979178910251028,3.18586654531133,0.534402524252681,2.152500969521e-08
"Igfbp2","Igfbp2",0.67446976534296,5.39574832817903,0.527478083226567,3.27319982517707e-08
"Mt2","Mt2",0.581649118126702,6.02458563827827,0.512798847354422,7.81779993536625e-08
"Lgmn","Lgmn",0.871532182001496,3.71149490665009,0.512768941248864,7.83148474131012e-08
"Ddit4l","Ddit4l",0.951005673027334,3.18586654531133,0.506229287028986,1.14521293595865e-07
"Ctsh","Ctsh",0.979783393501805,3.01792190799726,0.503915604901836,1.30850591681613e-07
"Bc1","Bc1",0.430049275435314,7.02347715183043,0.502735270464522,1.40025568576394e-07
"Ankrd1","Ankrd1",0.977397582797049,3.01792190799726,0.50152979419708,1.50036031740723e-07
"Col4a2","Col4a2",0.917966049619786,3.33628338786443,0.499447871786749,1.68973843730512e-07
"Efnb1","Efnb1",0.865801166342683,3.59693514238723,0.489592015758545,2.94667528737646e-07
"Ccno","Ccno",0.907712504102396,3.33628338786443,0.489194326269358,3.01285232479999e-07
"Glipr1","Glipr1",0.986409004034827,2.82781902461732,0.472888758522204,7.37576224909245e-07
"Vim","Vim",0.866909821727642,3.47248777146274,0.470977196327476,8.1760146199496e-07
"Mt1","Mt1",0.609598207829702,5.42961596420174,0.466626451349965,1.03203621425206e-06
"3830417A13Rik","3830417A13Rik",0.937854564208355,3.01792190799726,0.461986775608386,1.31992768233474e-06
"Rn18s","Rn18s",0.361868824814744,7.19081236791614,0.458542034676636,1.58200344869108e-06
"Tfap2c","Tfap2c",0.852707581227437,3.47248777146274,0.456774955827272,1.7351336712479e-06
"Ldoc1","Ldoc1",0.901063518392038,3.18586654531133,0.456287132393691,1.77984966661893e-06
