"dim1","dim2"
"1",-2.29094793470825,3.30061574966704
"2",-2.57177579731877,4.66215078967526
"3",-4.22439979366652,6.82405220299217
"4",2.01957324327244,4.01021431970987
"5",-2.17242691062123,5.62491955275292
"6",-1.78533866337899,4.3855265078193
"7",-3.7402837943794,5.65862904046616
"8",3.19682418707051,-4.24965057683113
"9",3.93605482979642,-7.0207911008281
"10",4.6040505913771,-4.77965169277196
"11",3.89001917847837,-2.41660117772368
"12",1.71840732989373,-5.62368282169904
"13",3.11504119587938,-3.55049457271225
"14",-3.92987995079497,5.36424003419893
"15",-1.48534398638651,6.37349729807362
"16",-3.0580006416372,3.84034104325219
"17",3.74732427857056,-4.92892793564634
"18",0.651375899921374,1.26165070672469
"19",3.54594168109013,-0.0530360843146148
"20",3.11175906168226,-2.70700211132181
"21",1.30822140906903,-7.09292390106187
"22",1.03348801001903,-2.9316820394032
"23",3.59385189128214,0.602527279891986
"24",-0.870683696542079,2.65276263049395
"25",2.72038495326328,-3.2720762368892
"26",0.875094463187708,-4.01314785260356
"27",-3.68573466216375,-0.763456125727716
"28",0.848071679148161,-1.64114778008428
"29",-0.365817113853526,-1.24218441937832
"30",-1.04330672889833,-3.16297495879034
"31",-5.0985635012492,0.0866664338672529
"32",2.8391962156007,-3.47507724564883
"33",-0.790999482398209,3.71992908263524
"34",-4.81255531141775,-3.28210465343245
"35",1.561586796261,-4.70838301218091
"36",-2.75734131088415,5.23952156148984
"37",6.67232118135512,-4.17029206426393
"38",3.14521097936668,-4.67861352302169
"39",6.05708124925655,-2.85853784797834
"40",2.28489778139905,-7.58129787273985
"41",-2.81828277321999,5.20655415984512
"42",1.36532607820944,-0.97301945267493
"43",-5.31225702502486,7.00231488487796
"44",-0.117415676180884,2.97732705466469
"45",1.38895969179651,-4.08874061808095
"46",5.66286084265179,-3.59940161757153
"47",1.16960623237196,-3.3555343697979
"48",-3.61902147177039,6.64041285412955
"49",4.27542464128346,-2.82677402113052
"50",4.21456804824337,-4.26509895058524
"51",3.13308305226953,-2.13952448468607
"52",-0.333336565004353,-6.02400151781053
"53",1.45640442714893,-0.398085563236262
"54",2.26015601125673,-7.13825222986804
"55",0.777624860450328,0.568116786448684
"56",1.71124314585845,-0.396919526149708
"57",0.929582347736968,-4.92905685486886
"58",-5.66102990282088,5.9786574135622
"59",-5.31857317459644,4.01238027407491
"60",1.21355493164391,0.708565721436224
"61",-1.76867641513881,4.82512728465932
"62",4.19729467428434,-0.71206866688357
"63",-2.89951620999188,7.10386083956107
"64",4.02275356219611,-2.53076049413458
"65",-5.9144964357018,-0.0703671025967972
"66",-3.24948581911264,6.79909094663284
"67",1.59631070186923,-3.59331309407178
"68",0.123848069782867,-1.33198833520282
"69",-4.6497824416473,5.14612271143232
"70",2.31955938301543,-3.19951361767313
"71",-0.814356510903969,4.57164545462798
"72",-0.240096710976589,-3.41167298033989
"73",-1.04249390464014,2.83677620372891
"74",0.163013175077395,1.76815670484103
"75",2.16743430687757,-2.21517297910441
"76",-4.32959590155781,2.74568729451272
"77",5.47256609445486,-2.37249233565352
"78",2.62668470137625,-4.77516914265786
"79",0.661866969022098,4.75767417978146
"80",-1.83784257597503,-3.96011610428299
"81",4.31217486258547,-4.4876969333846
"82",0.160989566414862,4.27723732738286
"83",-4.94998343517905,-3.88664959236975
